{'dataset': 'Peptides-func', 'max_hops': 40, 'use_lap_pe': True, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-07, 'weight_decay': 0.0003, 'batch_size': 32, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_func_best_lape', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
  head 1: [0, 2]
  head 2: [0, 3]
  head 3: [0, 4]
  head 4: [0, 5]
  head 5: [0, 6]
  head 6: [0, 7]
  head 7: [0, 8]
  head 8: [0, 9]
  head 9: [0, 10]
  head 10: [0, 11]
  head 11: [0, 12]
  head 12: [0, 13]
  head 13: [0, 14]
  head 14: [0, 15]
  head 15: [0, 16]
  head 16: [0, 17]
  head 17: [0, 18]
  head 18: [0, 19]
  head 19: [0, 20]
  head 20: [0, 21]
  head 21: [0, 22]
  head 22: [0, 23]
  head 23: [0, 24]
  head 24: [0, 25]
  head 25: [0, 26]
  head 26: [0, 27]
  head 27: [0, 28]
  head 28: [0, 29]
  head 29: [0, 30]
  head 30: [0, 31]
  head 31: [0, 32]
  head 32: [0, 33]
  head 33: [0, 34]
  head 34: [0, 35]
  head 35: [0, 36]
  head 36: [0, 37]
  head 37: [0, 38]
  head 38: [0, 39]
  head 39: GLOBAL (no hop mask)
trainable params: 1.501M
ReduceLROnPlateau: mode=max, patience=10, factor=0.5, min_lr=1e-07
epoch 000 | 138.1s | train loss 0.4038 AP 0.1851 | val loss 0.3321 AP 0.2707 | test loss 0.3321 AP 0.2711 | best val 0.2707 (epoch 0, test 0.27105977741591236)
epoch 001 | 131.3s | train loss 0.3275 AP 0.2620 | val loss 0.3327 AP 0.3060 | test loss 0.3323 AP 0.3066 | best val 0.3060 (epoch 1, test 0.3065662524937915)
epoch 002 | 150.1s | train loss 0.3146 AP 0.3012 | val loss 0.3175 AP 0.3493 | test loss 0.3162 AP 0.3482 | best val 0.3493 (epoch 2, test 0.3481662774546549)
epoch 003 | 153.6s | train loss 0.2964 AP 0.3480 | val loss 0.3075 AP 0.3930 | test loss 0.3102 AP 0.3797 | best val 0.3930 (epoch 3, test 0.3796686183512453)
epoch 004 | 153.5s | train loss 0.2860 AP 0.3746 | val loss 0.2747 AP 0.4332 | test loss 0.2795 AP 0.4192 | best val 0.4332 (epoch 4, test 0.41917741823763566)
epoch 005 | 141.2s | train loss 0.2774 AP 0.4002 | val loss 0.2689 AP 0.4440 | test loss 0.2729 AP 0.4345 | best val 0.4440 (epoch 5, test 0.43450565890257487)
epoch 006 | 131.6s | train loss 0.2700 AP 0.4192 | val loss 0.2656 AP 0.4544 | test loss 0.2677 AP 0.4541 | best val 0.4544 (epoch 6, test 0.4541035254064547)
epoch 007 | 150.5s | train loss 0.2629 AP 0.4401 | val loss 0.2581 AP 0.4723 | test loss 0.2643 AP 0.4647 | best val 0.4723 (epoch 7, test 0.4646665967313524)
epoch 008 | 151.6s | train loss 0.2580 AP 0.4523 | val loss 0.2548 AP 0.4821 | test loss 0.2613 AP 0.4674 | best val 0.4821 (epoch 8, test 0.4673604094813668)
epoch 009 | 153.9s | train loss 0.2544 AP 0.4657 | val loss 0.2523 AP 0.5019 | test loss 0.2582 AP 0.4798 | best val 0.5019 (epoch 9, test 0.4797682757664311)
epoch 010 | 147.7s | train loss 0.2485 AP 0.4793 | val loss 0.2336 AP 0.5389 | test loss 0.2414 AP 0.5065 | best val 0.5389 (epoch 10, test 0.5065199143539536)
epoch 011 | 124.7s | train loss 0.2425 AP 0.5003 | val loss 0.2296 AP 0.5487 | test loss 0.2361 AP 0.5234 | best val 0.5487 (epoch 11, test 0.5234209773075733)
epoch 012 | 126.2s | train loss 0.2369 AP 0.5124 | val loss 0.2300 AP 0.5412 | test loss 0.2378 AP 0.5165 | best val 0.5487 (epoch 11, test 0.5234209773075733)
epoch 013 | 127.4s | train loss 0.2302 AP 0.5396 | val loss 0.2385 AP 0.5563 | test loss 0.2473 AP 0.5329 | best val 0.5563 (epoch 13, test 0.5328673610425607)
epoch 014 | 125.1s | train loss 0.2260 AP 0.5462 | val loss 0.2320 AP 0.5736 | test loss 0.2400 AP 0.5308 | best val 0.5736 (epoch 14, test 0.53075252998046)
epoch 015 | 125.7s | train loss 0.2218 AP 0.5592 | val loss 0.2219 AP 0.5758 | test loss 0.2311 AP 0.5423 | best val 0.5758 (epoch 15, test 0.5423369416721352)
epoch 016 | 125.5s | train loss 0.2190 AP 0.5616 | val loss 0.2314 AP 0.5847 | test loss 0.2427 AP 0.5558 | best val 0.5847 (epoch 16, test 0.5558295046075048)
epoch 017 | 130.8s | train loss 0.2162 AP 0.5734 | val loss 0.2165 AP 0.5885 | test loss 0.2237 AP 0.5652 | best val 0.5885 (epoch 17, test 0.565217352067043)
epoch 018 | 129.8s | train loss 0.2094 AP 0.5940 | val loss 0.2160 AP 0.6058 | test loss 0.2240 AP 0.5876 | best val 0.6058 (epoch 18, test 0.5875718559058145)
epoch 019 | 130.3s | train loss 0.2027 AP 0.6108 | val loss 0.2179 AP 0.6023 | test loss 0.2281 AP 0.5743 | best val 0.6058 (epoch 18, test 0.5875718559058145)
epoch 020 | 130.5s | train loss 0.2021 AP 0.6152 | val loss 0.2151 AP 0.6153 | test loss 0.2271 AP 0.5806 | best val 0.6153 (epoch 20, test 0.5805506268928794)
epoch 021 | 131.0s | train loss 0.1952 AP 0.6318 | val loss 0.2265 AP 0.6100 | test loss 0.2353 AP 0.5791 | best val 0.6153 (epoch 20, test 0.5805506268928794)
