[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
  head 1: [0, 2]
  head 2: [0, 3]
  head 3: [0, 4]
  head 4: [0, 5]
  head 5: [0, 6]
  head 6: [0, 7]
  head 7: [0, 8]
  head 8: [0, 9]
  head 9: [0, 10]
  head 10: [0, 11]
  head 11: [0, 12]
  head 12: [0, 13]
  head 13: [0, 14]
  head 14: [0, 15]
  head 15: [0, 16]
  head 16: [0, 17]
  head 17: [0, 18]
  head 18: [0, 19]
  head 19: [0, 20]
  head 20: [0, 21]
  head 21: [0, 22]
  head 22: [0, 23]
  head 23: [0, 24]
  head 24: [0, 25]
  head 25: [0, 26]
  head 26: [0, 27]
  head 27: [0, 28]
  head 28: [0, 29]
  head 29: [0, 30]
  head 30: [0, 31]
  head 31: [0, 32]
  head 32: [0, 33]
  head 33: [0, 34]
  head 34: [0, 35]
  head 35: [0, 36]
  head 36: [0, 37]
  head 37: [0, 38]
  head 38: [0, 39]
  head 39: GLOBAL (no hop mask)
trainable params: 1.498M
epoch 000 |  85.1s | train loss 0.3880 AP 0.2005 | val loss 0.3148 AP 0.3185 | test loss 0.3142 AP 0.3228 | best val 0.3185 (epoch 0, test 0.3228413456682978)
epoch 001 |  85.1s | train loss 0.3057 AP 0.3295 | val loss 0.2806 AP 0.3955 | test loss 0.2804 AP 0.3934 | best val 0.3955 (epoch 1, test 0.3934193527074926)
epoch 002 |  86.8s | train loss 0.2848 AP 0.3791 | val loss 0.2763 AP 0.4282 | test loss 0.2784 AP 0.4118 | best val 0.4282 (epoch 2, test 0.4118479905770057)
epoch 003 |  86.6s | train loss 0.2755 AP 0.4064 | val loss 0.2648 AP 0.4521 | test loss 0.2686 AP 0.4293 | best val 0.4521 (epoch 3, test 0.4292889788561599)
epoch 004 |  83.8s | train loss 0.2656 AP 0.4258 | val loss 0.2685 AP 0.4689 | test loss 0.2729 AP 0.4540 | best val 0.4689 (epoch 4, test 0.45397825469181513)
epoch 005 |  86.2s | train loss 0.2589 AP 0.4467 | val loss 0.2578 AP 0.4888 | test loss 0.2625 AP 0.4745 | best val 0.4888 (epoch 5, test 0.47449506676741765)
epoch 006 |  86.3s | train loss 0.2569 AP 0.4528 | val loss 0.2488 AP 0.4986 | test loss 0.2555 AP 0.4803 | best val 0.4986 (epoch 6, test 0.4802818852193792)
epoch 007 |  87.0s | train loss 0.2544 AP 0.4617 | val loss 0.2512 AP 0.5020 | test loss 0.2535 AP 0.4873 | best val 0.5020 (epoch 7, test 0.48731736747466997)
epoch 008 |  86.1s | train loss 0.2541 AP 0.4643 | val loss 0.2461 AP 0.5116 | test loss 0.2526 AP 0.4855 | best val 0.5116 (epoch 8, test 0.4854819283312327)
epoch 009 |  87.7s | train loss 0.2527 AP 0.4705 | val loss 0.2418 AP 0.5116 | test loss 0.2514 AP 0.4891 | best val 0.5116 (epoch 9, test 0.48911690601430047)
epoch 010 |  86.1s | train loss 0.2495 AP 0.4765 | val loss 0.2399 AP 0.5261 | test loss 0.2464 AP 0.4919 | best val 0.5261 (epoch 10, test 0.49190205718577873)
epoch 011 |  87.3s | train loss 0.2419 AP 0.4974 | val loss 0.2403 AP 0.5307 | test loss 0.2470 AP 0.5072 | best val 0.5307 (epoch 11, test 0.5071855438665536)
epoch 012 |  87.9s | train loss 0.2365 AP 0.5129 | val loss 0.2285 AP 0.5504 | test loss 0.2334 AP 0.5240 | best val 0.5504 (epoch 12, test 0.523953683345461)
epoch 013 |  87.9s | train loss 0.2338 AP 0.5195 | val loss 0.2302 AP 0.5507 | test loss 0.2380 AP 0.5275 | best val 0.5507 (epoch 13, test 0.5274551236388216)
epoch 014 |  87.5s | train loss 0.2288 AP 0.5378 | val loss 0.2238 AP 0.5616 | test loss 0.2321 AP 0.5321 | best val 0.5616 (epoch 14, test 0.5320784579443135)
epoch 015 |  88.7s | train loss 0.2319 AP 0.5254 | val loss 0.2246 AP 0.5602 | test loss 0.2346 AP 0.5447 | best val 0.5616 (epoch 14, test 0.5320784579443135)
epoch 016 |  87.3s | train loss 0.2276 AP 0.5437 | val loss 0.2189 AP 0.5873 | test loss 0.2262 AP 0.5580 | best val 0.5873 (epoch 16, test 0.5580210832166704)
epoch 017 |  88.5s | train loss 0.2236 AP 0.5541 | val loss 0.2243 AP 0.5914 | test loss 0.2353 AP 0.5584 | best val 0.5914 (epoch 17, test 0.5583653411598336)
epoch 018 |  88.1s | train loss 0.2186 AP 0.5680 | val loss 0.2368 AP 0.5645 | test loss 0.2439 AP 0.5508 | best val 0.5914 (epoch 17, test 0.5583653411598336)
epoch 019 |  88.1s | train loss 0.2161 AP 0.5809 | val loss 0.2280 AP 0.5863 | test loss 0.2393 AP 0.5569 | best val 0.5914 (epoch 17, test 0.5583653411598336)
epoch 020 |  87.2s | train loss 0.2145 AP 0.5786 | val loss 0.2134 AP 0.5968 | test loss 0.2233 AP 0.5723 | best val 0.5968 (epoch 20, test 0.5723245246255177)
epoch 021 |  87.3s | train loss 0.2093 AP 0.5923 | val loss 0.2200 AP 0.6030 | test loss 0.2288 AP 0.5716 | best val 0.6030 (epoch 21, test 0.5716081516905912)
epoch 022 |  86.9s | train loss 0.2070 AP 0.6046 | val loss 0.2167 AP 0.6060 | test loss 0.2258 AP 0.5886 | best val 0.6060 (epoch 22, test 0.5886424696534724)
epoch 023 |  88.5s | train loss 0.2062 AP 0.6053 | val loss 0.2091 AP 0.6133 | test loss 0.2238 AP 0.5845 | best val 0.6133 (epoch 23, test 0.5845002394261859)
epoch 024 |  87.0s | train loss 0.2027 AP 0.6145 | val loss 0.2117 AP 0.6120 | test loss 0.2235 AP 0.5876 | best val 0.6133 (epoch 23, test 0.5845002394261859)
epoch 025 |  88.7s | train loss 0.1998 AP 0.6281 | val loss 0.2057 AP 0.6343 | test loss 0.2170 AP 0.6023 | best val 0.6343 (epoch 25, test 0.6023228002967056)
