{'dataset': 'PascalVOC-SP', 'max_hops': 40, 'use_lap_pe': False, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-06, 'weight_decay': 0.0003, 'batch_size': 128, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_pascal_func_best', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[PascalVOC-SP] task=multiclass level=node metric=node_f1_macro (higher_is_better=True)
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/train.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/val.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
  head 1: [0, 2]
  head 2: [0, 3]
  head 3: [0, 4]
  head 4: [0, 5]
  head 5: [0, 6]
  head 6: [0, 7]
  head 7: [0, 8]
  head 8: [0, 9]
  head 9: [0, 10]
  head 10: [0, 11]
  head 11: [0, 12]
  head 12: [0, 13]
  head 13: [0, 14]
  head 14: [0, 15]
  head 15: [0, 16]
  head 16: [0, 17]
  head 17: [0, 18]
  head 18: [0, 19]
  head 19: [0, 20]
  head 20: [0, 21]
  head 21: [0, 22]
  head 22: [0, 23]
  head 23: [0, 24]
  head 24: [0, 25]
  head 25: [0, 26]
  head 26: [0, 27]
  head 27: [0, 28]
  head 28: [0, 29]
  head 29: [0, 30]
  head 30: [0, 31]
  head 31: [0, 32]
  head 32: [0, 33]
  head 33: [0, 34]
  head 34: [0, 35]
  head 35: [0, 36]
  head 36: [0, 37]
  head 37: [0, 38]
  head 38: [0, 39]
  head 39: GLOBAL (no hop mask)
trainable params: 1.348M
ReduceLROnPlateau: mode=max, patience=10, factor=0.5, min_lr=1e-06
epoch 000 | 221.8s | train loss 2.3407 F1 0.0433 | val loss 1.4569 F1 0.0391 | test loss 1.4172 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 001 | 225.0s | train loss 1.4012 F1 0.0392 | val loss 1.3938 F1 0.0391 | test loss 1.3544 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 002 | 215.6s | train loss 1.3791 F1 0.0392 | val loss 1.3779 F1 0.0391 | test loss 1.3385 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 003 | 215.1s | train loss 1.3626 F1 0.0392 | val loss 1.3682 F1 0.0391 | test loss 1.3303 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 004 | 217.5s | train loss 1.3558 F1 0.0392 | val loss 1.3641 F1 0.0391 | test loss 1.3263 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 005 | 217.9s | train loss 1.3502 F1 0.0392 | val loss 1.3559 F1 0.0391 | test loss 1.3210 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 006 | 216.8s | train loss 1.3443 F1 0.0392 | val loss 1.3487 F1 0.0391 | test loss 1.3122 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 007 | 215.9s | train loss 1.3408 F1 0.0392 | val loss 1.3480 F1 0.0391 | test loss 1.3053 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 008 | 202.0s | train loss 1.3367 F1 0.0392 | val loss 1.3378 F1 0.0391 | test loss 1.3067 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 009 | 198.6s | train loss 1.3334 F1 0.0392 | val loss 1.3324 F1 0.0391 | test loss 1.2986 F1 0.0395 | best val 0.0391 (epoch 0, test 0.03945185041315041)
epoch 010 | 194.5s | train loss 1.3242 F1 0.0392 | val loss 1.3232 F1 0.0391 | test loss 1.2915 F1 0.0395 | best val 0.0391 (epoch 10, test 0.03949184345645697)
epoch 011 | 195.1s | train loss 1.3175 F1 0.0395 | val loss 1.3136 F1 0.0393 | test loss 1.2766 F1 0.0397 | best val 0.0393 (epoch 11, test 0.03970670760034456)
epoch 012 | 193.6s | train loss 1.3069 F1 0.0394 | val loss 1.3160 F1 0.0392 | test loss 1.2804 F1 0.0396 | best val 0.0393 (epoch 11, test 0.03970670760034456)
epoch 013 | 194.7s | train loss 1.3011 F1 0.0395 | val loss 1.3091 F1 0.0391 | test loss 1.2725 F1 0.0396 | best val 0.0393 (epoch 11, test 0.03970670760034456)
epoch 014 | 195.2s | train loss 1.2954 F1 0.0399 | val loss 1.2985 F1 0.0393 | test loss 1.2612 F1 0.0404 | best val 0.0393 (epoch 11, test 0.03970670760034456)
epoch 015 | 195.9s | train loss 1.2892 F1 0.0402 | val loss 1.2895 F1 0.0401 | test loss 1.2497 F1 0.0402 | best val 0.0401 (epoch 15, test 0.040168233029059766)
epoch 016 | 193.9s | train loss 1.2841 F1 0.0406 | val loss 1.2913 F1 0.0402 | test loss 1.2514 F1 0.0399 | best val 0.0402 (epoch 16, test 0.03994643474798233)
epoch 017 | 195.3s | train loss 1.2801 F1 0.0409 | val loss 1.2791 F1 0.0409 | test loss 1.2384 F1 0.0403 | best val 0.0409 (epoch 17, test 0.04029404600668676)
epoch 018 | 193.5s | train loss 1.2782 F1 0.0409 | val loss 1.2862 F1 0.0409 | test loss 1.2502 F1 0.0422 | best val 0.0409 (epoch 17, test 0.04029404600668676)
epoch 019 | 198.1s | train loss 1.2742 F1 0.0414 | val loss 1.2849 F1 0.0392 | test loss 1.2483 F1 0.0396 | best val 0.0409 (epoch 17, test 0.04029404600668676)
epoch 020 | 207.7s | train loss 1.2728 F1 0.0416 | val loss 1.2844 F1 0.0447 | test loss 1.2547 F1 0.0462 | best val 0.0447 (epoch 20, test 0.046187926249195335)
epoch 021 | 207.0s | train loss 1.2682 F1 0.0413 | val loss 1.2749 F1 0.0405 | test loss 1.2335 F1 0.0420 | best val 0.0447 (epoch 20, test 0.046187926249195335)
