{'dataset': 'Peptides-struct', 'max_hops': 40, 'use_lap_pe': False, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-06, 'weight_decay': 0.0003, 'batch_size': 32, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_struct_func_best', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
  head 1: [0, 2]
  head 2: [0, 3]
  head 3: [0, 4]
  head 4: [0, 5]
  head 5: [0, 6]
  head 6: [0, 7]
  head 7: [0, 8]
  head 8: [0, 9]
  head 9: [0, 10]
  head 10: [0, 11]
  head 11: [0, 12]
  head 12: [0, 13]
  head 13: [0, 14]
  head 14: [0, 15]
  head 15: [0, 16]
  head 16: [0, 17]
  head 17: [0, 18]
  head 18: [0, 19]
  head 19: [0, 20]
  head 20: [0, 21]
  head 21: [0, 22]
  head 22: [0, 23]
  head 23: [0, 24]
  head 24: [0, 25]
  head 25: [0, 26]
  head 26: [0, 27]
  head 27: [0, 28]
  head 28: [0, 29]
  head 29: [0, 30]
  head 30: [0, 31]
  head 31: [0, 32]
  head 32: [0, 33]
  head 33: [0, 34]
  head 34: [0, 35]
  head 35: [0, 36]
  head 36: [0, 37]
  head 37: [0, 38]
  head 38: [0, 39]
  head 39: GLOBAL (no hop mask)
trainable params: 1.498M
ReduceLROnPlateau: mode=min, patience=10, factor=0.5, min_lr=1e-06
epoch 000 |  87.9s | train loss 0.5004 MAE 0.5005 | val loss 0.3650 MAE 0.3648 | test loss 0.3741 MAE 0.3740 | best val 0.3648 (epoch 0, test 0.3740236050290617)
epoch 001 |  89.4s | train loss 0.3596 MAE 0.3594 | val loss 0.3602 MAE 0.3598 | test loss 0.3698 MAE 0.3697 | best val 0.3598 (epoch 1, test 0.3696893022623743)
epoch 002 |  88.5s | train loss 0.3441 MAE 0.3441 | val loss 0.3128 MAE 0.3126 | test loss 0.3202 MAE 0.3201 | best val 0.3126 (epoch 2, test 0.32009291098187437)
epoch 003 |  91.0s | train loss 0.3295 MAE 0.3294 | val loss 0.2963 MAE 0.2961 | test loss 0.3058 MAE 0.3057 | best val 0.2961 (epoch 3, test 0.3057022999420659)
epoch 004 |  89.6s | train loss 0.3170 MAE 0.3170 | val loss 0.3010 MAE 0.3009 | test loss 0.3096 MAE 0.3095 | best val 0.2961 (epoch 3, test 0.3057022999420659)
epoch 005 |  90.6s | train loss 0.3140 MAE 0.3139 | val loss 0.3264 MAE 0.3262 | test loss 0.3355 MAE 0.3355 | best val 0.2961 (epoch 3, test 0.3057022999420659)
epoch 006 |  92.9s | train loss 0.3097 MAE 0.3097 | val loss 0.2998 MAE 0.2996 | test loss 0.3076 MAE 0.3075 | best val 0.2961 (epoch 3, test 0.3057022999420659)
epoch 007 |  92.6s | train loss 0.3103 MAE 0.3103 | val loss 0.3093 MAE 0.3090 | test loss 0.3179 MAE 0.3178 | best val 0.2961 (epoch 3, test 0.3057022999420659)
epoch 008 |  92.4s | train loss 0.3186 MAE 0.3187 | val loss 0.2861 MAE 0.2859 | test loss 0.2968 MAE 0.2967 | best val 0.2859 (epoch 8, test 0.2967315067924316)
epoch 009 |  92.7s | train loss 0.3131 MAE 0.3131 | val loss 0.3204 MAE 0.3202 | test loss 0.3313 MAE 0.3311 | best val 0.2859 (epoch 8, test 0.2967315067924316)
epoch 010 |  92.6s | train loss 0.3110 MAE 0.3110 | val loss 0.2945 MAE 0.2942 | test loss 0.3022 MAE 0.3021 | best val 0.2859 (epoch 8, test 0.2967315067924316)
epoch 011 |  90.7s | train loss 0.3030 MAE 0.3030 | val loss 0.3022 MAE 0.3020 | test loss 0.3093 MAE 0.3092 | best val 0.2859 (epoch 8, test 0.2967315067924316)
epoch 012 |  92.1s | train loss 0.2990 MAE 0.2990 | val loss 0.2834 MAE 0.2832 | test loss 0.2905 MAE 0.2904 | best val 0.2832 (epoch 12, test 0.2903837164090869)
epoch 013 |  94.2s | train loss 0.2970 MAE 0.2970 | val loss 0.2822 MAE 0.2820 | test loss 0.2895 MAE 0.2894 | best val 0.2820 (epoch 13, test 0.2894253998618171)
epoch 014 |  94.1s | train loss 0.2941 MAE 0.2941 | val loss 0.2922 MAE 0.2920 | test loss 0.3003 MAE 0.3002 | best val 0.2820 (epoch 13, test 0.2894253998618171)
epoch 015 |  93.4s | train loss 0.2966 MAE 0.2966 | val loss 0.2949 MAE 0.2948 | test loss 0.3018 MAE 0.3017 | best val 0.2820 (epoch 13, test 0.2894253998618171)
epoch 016 |  93.6s | train loss 0.2937 MAE 0.2938 | val loss 0.2761 MAE 0.2760 | test loss 0.2826 MAE 0.2824 | best val 0.2760 (epoch 16, test 0.28244880500270353)
epoch 017 |  91.4s | train loss 0.2890 MAE 0.2890 | val loss 0.2735 MAE 0.2734 | test loss 0.2781 MAE 0.2780 | best val 0.2734 (epoch 17, test 0.2780146350012832)
epoch 018 |  92.1s | train loss 0.2914 MAE 0.2914 | val loss 0.2784 MAE 0.2783 | test loss 0.2860 MAE 0.2859 | best val 0.2734 (epoch 17, test 0.2780146350012832)
epoch 019 |  92.8s | train loss 0.2869 MAE 0.2869 | val loss 0.2770 MAE 0.2768 | test loss 0.2862 MAE 0.2861 | best val 0.2734 (epoch 17, test 0.2780146350012832)
epoch 020 |  92.0s | train loss 0.2881 MAE 0.2881 | val loss 0.2705 MAE 0.2704 | test loss 0.2774 MAE 0.2773 | best val 0.2704 (epoch 20, test 0.2772603660006047)
