[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
  head 1: [0, 2]
  head 2: [0, 3]
  head 3: [0, 4]
  head 4: [0, 5]
  head 5: [0, 6]
  head 6: [0, 7]
  head 7: [0, 8]
  head 8: [0, 9]
  head 9: [0, 10]
  head 10: [0, 11]
  head 11: [0, 12]
  head 12: [0, 13]
  head 13: [0, 14]
  head 14: [0, 15]
  head 15: [0, 16]
  head 16: [0, 17]
  head 17: [0, 18]
  head 18: [0, 19]
  head 19: [0, 20]
  head 20: [0, 21]
  head 21: [0, 22]
  head 22: [0, 23]
  head 23: [0, 24]
  head 24: [0, 25]
  head 25: [0, 26]
  head 26: [0, 27]
  head 27: [0, 28]
  head 28: [0, 29]
  head 29: [0, 30]
  head 30: [0, 31]
  head 31: [0, 32]
  head 32: [0, 33]
  head 33: [0, 34]
  head 34: [0, 35]
  head 35: [0, 36]
  head 36: [0, 37]
  head 37: [0, 38]
  head 38: [0, 39]
  head 39: GLOBAL (no hop mask)
trainable params: 1.498M
epoch 000 |  85.0s | train loss 0.4999 MAE 0.4999 | val loss 0.4265 MAE 0.4262 | test loss 0.4304 MAE 0.4304 | best val 0.4262 (epoch 0, test 0.4303923618871935)
epoch 001 |  85.4s | train loss 0.3597 MAE 0.3596 | val loss 0.3509 MAE 0.3505 | test loss 0.3588 MAE 0.3587 | best val 0.3505 (epoch 1, test 0.35871326483763194)
epoch 002 |  84.9s | train loss 0.3362 MAE 0.3363 | val loss 0.3195 MAE 0.3193 | test loss 0.3253 MAE 0.3252 | best val 0.3193 (epoch 2, test 0.32524306477175896)
epoch 003 |  85.6s | train loss 0.3269 MAE 0.3268 | val loss 0.3064 MAE 0.3061 | test loss 0.3176 MAE 0.3176 | best val 0.3061 (epoch 3, test 0.31757606389433046)
epoch 004 |  87.4s | train loss 0.3181 MAE 0.3181 | val loss 0.2980 MAE 0.2978 | test loss 0.3079 MAE 0.3079 | best val 0.2978 (epoch 4, test 0.30786746143377425)
epoch 005 |  88.4s | train loss 0.3151 MAE 0.3150 | val loss 0.2937 MAE 0.2936 | test loss 0.3010 MAE 0.3009 | best val 0.2936 (epoch 5, test 0.3008575210899692)
epoch 006 |  87.8s | train loss 0.3138 MAE 0.3138 | val loss 0.2959 MAE 0.2957 | test loss 0.3047 MAE 0.3046 | best val 0.2936 (epoch 5, test 0.3008575210899692)
epoch 007 |  87.2s | train loss 0.3113 MAE 0.3113 | val loss 0.2946 MAE 0.2944 | test loss 0.3037 MAE 0.3036 | best val 0.2936 (epoch 5, test 0.3008575210899692)
epoch 008 |  88.1s | train loss 0.3134 MAE 0.3135 | val loss 0.2969 MAE 0.2967 | test loss 0.3090 MAE 0.3089 | best val 0.2936 (epoch 5, test 0.3008575210899692)
epoch 009 |  87.8s | train loss 0.3132 MAE 0.3132 | val loss 0.3030 MAE 0.3028 | test loss 0.3106 MAE 0.3105 | best val 0.2936 (epoch 5, test 0.3008575210899692)
epoch 010 |  88.8s | train loss 0.3122 MAE 0.3122 | val loss 0.2900 MAE 0.2898 | test loss 0.2969 MAE 0.2968 | best val 0.2898 (epoch 10, test 0.2968072397245309)
epoch 011 |  88.7s | train loss 0.3071 MAE 0.3072 | val loss 0.2897 MAE 0.2895 | test loss 0.2940 MAE 0.2939 | best val 0.2895 (epoch 11, test 0.2939378545849938)
epoch 012 |  88.1s | train loss 0.3036 MAE 0.3036 | val loss 0.2948 MAE 0.2946 | test loss 0.3027 MAE 0.3026 | best val 0.2895 (epoch 11, test 0.2939378545849938)
epoch 013 |  89.5s | train loss 0.3028 MAE 0.3029 | val loss 0.2881 MAE 0.2880 | test loss 0.2935 MAE 0.2934 | best val 0.2880 (epoch 13, test 0.2934090933595216)
epoch 014 |  88.7s | train loss 0.3006 MAE 0.3007 | val loss 0.2860 MAE 0.2858 | test loss 0.2938 MAE 0.2937 | best val 0.2858 (epoch 14, test 0.2937048296107973)
epoch 015 |  87.9s | train loss 0.2983 MAE 0.2983 | val loss 0.2991 MAE 0.2989 | test loss 0.3079 MAE 0.3078 | best val 0.2858 (epoch 14, test 0.2937048296107973)
epoch 016 |  90.1s | train loss 0.2986 MAE 0.2986 | val loss 0.2742 MAE 0.2740 | test loss 0.2811 MAE 0.2810 | best val 0.2740 (epoch 16, test 0.28102087034156203)
epoch 017 |  88.3s | train loss 0.2956 MAE 0.2956 | val loss 0.2795 MAE 0.2794 | test loss 0.2888 MAE 0.2887 | best val 0.2740 (epoch 16, test 0.28102087034156203)
epoch 018 |  88.4s | train loss 0.2950 MAE 0.2949 | val loss 0.2765 MAE 0.2763 | test loss 0.2848 MAE 0.2847 | best val 0.2740 (epoch 16, test 0.28102087034156203)
epoch 019 |  87.8s | train loss 0.2962 MAE 0.2962 | val loss 0.2756 MAE 0.2754 | test loss 0.2836 MAE 0.2836 | best val 0.2740 (epoch 16, test 0.28102087034156203)
epoch 020 |  89.5s | train loss 0.2906 MAE 0.2905 | val loss 0.2743 MAE 0.2741 | test loss 0.2796 MAE 0.2795 | best val 0.2740 (epoch 16, test 0.28102087034156203)
epoch 021 |  88.2s | train loss 0.2924 MAE 0.2925 | val loss 0.2736 MAE 0.2734 | test loss 0.2789 MAE 0.2788 | best val 0.2734 (epoch 21, test 0.27882191807565665)
epoch 022 |  87.9s | train loss 0.2907 MAE 0.2907 | val loss 0.2754 MAE 0.2752 | test loss 0.2848 MAE 0.2847 | best val 0.2734 (epoch 21, test 0.27882191807565665)
epoch 023 |  88.9s | train loss 0.2919 MAE 0.2919 | val loss 0.2723 MAE 0.2721 | test loss 0.2820 MAE 0.2819 | best val 0.2721 (epoch 23, test 0.2819161465327485)
epoch 024 |  88.4s | train loss 0.2902 MAE 0.2902 | val loss 0.2715 MAE 0.2714 | test loss 0.2786 MAE 0.2785 | best val 0.2714 (epoch 24, test 0.27849914359193545)
