{'dataset': 'Peptides-struct', 'max_hops': 40, 'use_lap_pe': False, 'lap_pe_dim': 8, 'hidden_dim': 640, 'num_heads': 20, 'ffn_ratio': 2, 'num_layers': 2, 'dropout': 0.1, 'graph_pool': 'mean', 'hop_mode': 'contiguous', 'hop_window': 2, 'num_global_heads': 2, 'lr': 0.0005685255159708854, 'lr_min': 1e-06, 'weight_decay': 0.0005759079044844154, 'batch_size': 64, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 20, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_optuna_best', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1, 2, 3]
  head 1: [0, 4, 5, 6]
  head 2: [0, 7, 8, 9]
  head 3: [0, 10, 11]
  head 4: [0, 12, 13]
  head 5: [0, 14, 15]
  head 6: [0, 16, 17]
  head 7: [0, 18, 19]
  head 8: [0, 20, 21]
  head 9: [0, 22, 23]
  head 10: [0, 24, 25]
  head 11: [0, 26, 27]
  head 12: [0, 28, 29]
  head 13: [0, 30, 31]
  head 14: [0, 32, 33]
  head 15: [0, 34, 35]
  head 16: [0, 36, 37]
  head 17: [0, 38, 39]
  head 18: GLOBAL (no hop mask)
  head 19: GLOBAL (no hop mask)
trainable params: 7.508M
ReduceLROnPlateau: mode=min, patience=20, factor=0.5, min_lr=1e-06
epoch 000 |  95.0s | train loss 0.5177 MAE 0.5178 | val loss 0.3799 MAE 0.3784 | test loss 0.3884 MAE 0.3877 | best val 0.3784 (epoch 0, test 0.3876811669043821)
epoch 001 |  96.2s | train loss 0.3510 MAE 0.3510 | val loss 0.3217 MAE 0.3206 | test loss 0.3280 MAE 0.3272 | best val 0.3206 (epoch 1, test 0.3271779966104216)
epoch 002 |  97.9s | train loss 0.3278 MAE 0.3278 | val loss 0.3061 MAE 0.3049 | test loss 0.3121 MAE 0.3115 | best val 0.3049 (epoch 2, test 0.3114824870971049)
epoch 003 |  97.2s | train loss 0.3184 MAE 0.3184 | val loss 0.3027 MAE 0.3014 | test loss 0.3094 MAE 0.3089 | best val 0.3014 (epoch 3, test 0.3088948059109496)
epoch 004 |  93.5s | train loss 0.3078 MAE 0.3078 | val loss 0.2988 MAE 0.2975 | test loss 0.3040 MAE 0.3032 | best val 0.2975 (epoch 4, test 0.3031532445067533)
epoch 005 |  96.1s | train loss 0.3034 MAE 0.3035 | val loss 0.2819 MAE 0.2806 | test loss 0.2868 MAE 0.2862 | best val 0.2806 (epoch 5, test 0.2861787294123458)
epoch 006 |  95.3s | train loss 0.3068 MAE 0.3068 | val loss 0.3011 MAE 0.2994 | test loss 0.3078 MAE 0.3069 | best val 0.2806 (epoch 5, test 0.2861787294123458)
epoch 007 |  96.2s | train loss 0.3121 MAE 0.3121 | val loss 0.2909 MAE 0.2893 | test loss 0.2982 MAE 0.2974 | best val 0.2806 (epoch 5, test 0.2861787294123458)
epoch 008 |  96.8s | train loss 0.3050 MAE 0.3050 | val loss 0.2890 MAE 0.2872 | test loss 0.2936 MAE 0.2931 | best val 0.2806 (epoch 5, test 0.2861787294123458)
epoch 009 |  97.5s | train loss 0.3044 MAE 0.3044 | val loss 0.2994 MAE 0.2983 | test loss 0.3044 MAE 0.3034 | best val 0.2806 (epoch 5, test 0.2861787294123458)
epoch 010 |  98.4s | train loss 0.3012 MAE 0.3012 | val loss 0.3032 MAE 0.3017 | test loss 0.3138 MAE 0.3128 | best val 0.2806 (epoch 5, test 0.2861787294123458)
